name,sponsor,owner,contact_name,phone,email,URL,description,prime_category,2nd_category,street,city,state,Address_Zip,Address_Country,champion,Champion_email
SA Angels,,,Mike Richards,+61 401 125 436,mike.richards@stmrsolutions.com.au,http://www.saangels.com.au,"SA Angels Inc is an Adelaide (South Australia) based business angel group. We are a group of sophisticated investors interested in investing in early stage businesses based in South Australia in fields other than biotechnology. We conduct meetings on a monthly basis to consider such investment opportunities. Entrepreneurs can log on to the Angelsoft website to enter their opportunity to be considered by SA Angels.
SA Angels comprises an array of different investor types with a diverse business background and varying personal requirements and criteria for investing. Since we are NOT a fund but a vehicle to facilitate bringing Entrepreneurs and Investors together, our ideal will vary from deal to deal and investor to investor.
There are however some constants that we look for in our deals, such as:
â¢	Unique businesses which have the ability to scale.
â¢	IP which can be protected to allow for market protection.
â¢	Businesses which are innovative and have barriers to entry for competitors.
â¢	Deals that offer the investors meaningful equity in the business entity.
â¢	Deals which allow the investor to contribute to the overall direction of the business.
â¢	A clear understanding of the purpose and expenditure of the Angel funds invested.
",Equity Investor,Angel Investor,,,,,,Mike Richards,mike.richards@stmrsolutions.com.au
Fab Lab Adelaide,SA Government (DFEEST),Australian Network for Art and Technology (ANAT),Karen Marsh,,karen@anat.org.au,http://fablabadelaide.org.au,"âA Fab Lab (fabrication laboratory) is a fully kitted fabrication workshop which gives everyone in the community, from small children through to entrepreneurs and businesses, the capability to turn their ideas and concepts into reality.â (Neil Gershenfeld, MIT)

Fab Lab Adelaide is a community inventorsâ workshop offering digital fabrication on a personal scale, in which new products and creative works can be made.  The lab is equipped with an array of flexible computer-controlled tools including 3D printers, a laser cutter and a milling machine, and is based at Adelaide College of the Arts on Light Square. 

The Fab Lab concept was originated by Massachusetts Institute of Technology (MIT), and there are now over 100 around the world. Fab Lab Adelaide is the first Australian-based participant in the international MIT Fab Lab network.

The Lab offers classes, themed workshops, drop-in sessions, one-to-one tuition, a regional outreach program and âmaker sessionsâ.  ",Coworking space,Education,"Second Floor , Adelaide College of the Arts, 39 Light Square",Adelaide,SA,5000,Australia,Gavin Artz,gavinartz@gmail.com
Hub Adelaide,City of Adelaide,Hub Australia,Caroline McLaren,1300 482 611,adelaide@hubaustralia.com,http://hubaustralia.com/spaces/adelaide/,"Hub Adelaide is a coworking community driving innovation through collaboration.
When you become a member of Hub Adelaide, you become part of a global network and a local community passionate about the innovation created from working with other individuals of diverse backgrounds.

Hub Adelaide is part of Hub Australia, which currently comprise of 700+ members from all sectors and over 50 disciplines through Hub Melbourne and Hub Sydney (coming May 2013). We are also be part of a global network of 35+ Hubs and about 6,000 members globally in cities like San Francisco, London, Sao Paulo and Tokyo.

We open our Clubhouse on Peel Street in September 2013. Come collaborate with us as we design and make our Clubhouse the most unique and inspiring place to work, create and play!",Coworking space,Networking,5 Peel Street,Adelaide,SA,5000,Australia,Brad Krauskopf,brad@bradkrauskopf.com
Base64,,Simon Hackett,Sean Habgood,+61 8 7324 5564,"admin@base64.com.au
",http://www.base64.com.au,"Base64 Pty Ltd is located at 64 North Terrace, Kent Town, Adelaide. It was founded in 2012 by Simon Hackett, and it is intended to become the home base for various new ventures over time. 

We are currently in our bootstrap phase, setting up the site facilities and supervising site renovation/enhancement works. 

At the completion of these works (expected to be late 2013) we intend to operate base64 as a multi-tenanted facility, offering facilities and support for a limited number of compatible technology related businesses. 

More information will be provided once we're fully up and running and have figured those details out!",Coworking space,, 64 North Terrace,Kent Town,SA,5067,Australia,Simon Hackett,simon@base64.com.au
Adelaide Lean Startup Group,CC2,Community,Russell Colbourne,,,http://www.meetup.com/Adelaide-Lean-Start-Up/,"Adelaide Lean Startups has been started by an SA Angel Investor and Serial Entrepreneur looking for great investment ideas to apply the Lean Start Up and Business Model Canvas methodologies.

Here we can help you build a successful startup by learning from the experience of other lean startups. We welcome Adelaide based entrepreneurs and investors.

Meetups are held monthly at Majoran Distillery.

* The Lean Startup is a trademark and service mark owned by Eric Ries.

",Networking,,,,,,,Russell Colbourne,
Collaborate to Innovate,Podio,Community,John Baxter,,,http://www.meetup.com/C2IADL/,"Collaborate to Innovate (C2I) is a community of people taking action on the things we care about.

We keep hearing is that the people that come along don't have anywhere else to have the conversations they have here - about taking action, setting out for themselves, working together on projects, making a difference in the world.

We don't sit back and accept the status quo, but go about following our passions and creating our visions.  This community can be the inspiration, the connections or the collaborators you need to make this possible.

The community is built on three simple goals - to connect, to learn, and to collaborate.

The Collaborate to Innovate community meets on the first Wednesday of every month. Join us.",Networking,,,,,,,John Baxter,john@jsbaxter.com.au
Young Business Leaders Program,in-business South Australia,The Royal Society for the Blind,Heather McCulloch,+61 8 8417 5555,mail@ybl.org.au,http://www.rsb.org.au/Young_Business_Leaders.aspx,"The in-business Young Business Leaders SA (YBL) Program provides professional and personal leadership development through intensive training and practical application.
The ten-month awards program is open to motivated individuals who are keen to challenge themselves, and gain invaluable experience, knowledge and skills.

This unique leadership program offers:
. fresh experiences, challenges, new skills and knowledge
. networking with dynamic young people, business professionals and community leaders
. opportunities to realise potential and enhance self confidence
. Diploma of Management through the Australian Institute of Management

YBL Participants attend developmental workshops to acquire knowledge which is then applied practically through two projects (Business Improvement Project and Community Involvement Project).

YBL Participants are offered extensive individual support throughout this innovative leadership program.

",Industry education,Networking,"c/- RSB, 254 Angas Street",Adelaide,SA,5000,Australia,Heather McCulloch,mail@ybl.org.au
Western Region Enterprise Day,,University of Adelaide,Kerry James,kerry.james@adelaide.edu.au,,,,Formal education,,,,,,,Kerry James,kerry.james@adelaide.edu.au
Entrepreneurs Organisation,,,Tim Seymour-Smith,+61 419 922 250,tim@weathersafe.com.au,http://eoaccess.eonetwork.org/SouthAustralia/Pages/default.aspx,"The Entrepreneurs' Organization (EO) - for entrepreneurs only - is a dynamic, global network of more than 9,500 business owners in 40 countries. Founded in 1987 by a group of young entrepreneurs, EO is the catalyst that enables entrepreneurs to learn and grow from each other, leading to greater business success and an enriched personal life.",Networking,,,,,,,Tim Seymour-Smith,
Centre for the Development of Entrepreneurs,,University of South Australia,Peter Balan,+61 8 830 20325 ,Peter.Balan@unisa.edu.au,www.unisa.edu.au/cde,"The Centre for the Development of Entrepreneurs operates as a research and teaching group within the School of Management, University of South Australia (UniSA).

We are engaged in research, teaching, and industry collaboration. This combination of activities ensures that the Centre remains academically focused, while being practical and relevant.

The Centre is involved in developing and delivering a range of ""cutting edge"" and compelling award courses and degree programs across the University. These include the following:

    Entrepreneurial Enterprises (a business undergraduate elective BUGE) offered to students
    across the University
    Innovation and Entrepreneurship (an MBA elective)
    MBA (Entrepreneurship) an MBA entrepreneurship major
    Master of Management (Innovation and Entrepreneurship)

An essential role of the Centre is to convey relevant practical knowledge to the community. In this regard, it is involved in the following series of workshops, seminars, lecture series, and enterprise development programs.

Enterprise Development Programs:
    Innovation Capability Program - for SMEs
    Investment Ready Program - for SMEs and novice investors
",Formal education,,UniSA City West Campus,,,,,Peter Balan,Peter.Balan@unisa.edu.au
Inner West Business Enterprise Centre,,,Susan Devine,8159 8700,iwbec@bec.org.au,,,Advisory service,,,,,,,Phil Dorman,pdorman@mellorolsson.com.au
Adelaide Business Hub,,,Lynette Hay,8440 2440,lyn@adelaidebusinesshub.com.au,http://adelaidebusinesshub.com.au,,Advisory service,Coworking Space,,,,,,Lynette Hay,lyn@adelaidebusinesshub.com.au
Todd Street Co-working Hub,,,Lynette Hay,8440 2440,lyn@adelaidebusinesshub.com.au,http://adelaidebusinesshub.com.au,,Incubator or Accelerator,,,,,,,Lynette Hay,lyn@adelaidebusinesshub.com.au
Eastside Business Enterprise Centre,,,,8366 9335,admin@eastsidebec.com.au,http://www.eastsidebec.com.au,,Advisory service,,,,,,,Nick Truscott,
Southern Success Business Enterprise Centre,,,Alan Edmond,,,,,Advisory service,,,,,,,Alan Edmond,
Tea Tree Gully Business Enterprise Centre,,,,,bec@neda.asn.au,,,Advisory service,,,,,,,,
Northern Adelaide Business Enterprise Centre,,,Larry Cavallaro,0417 856 656,admin@nabec.com.au,http://www.nabec.com.au,,Advisory service,,,,,,,,
TAFE Adelaide,,,,,,,,Formal education,,,,,,,,
Workers Education Australia (WEA),,,,,,,,Formal education,,,,,,,,
The Australian Centre for Social Innovation,,,,,,,,Government funding,,,,,,,,
Community Benefit SA Program,,SA Govt - Department for Communities and Social Inclusion,,1300 650 985,cbsa@sa.gov.au,http://www.dcsi.sa.gov.au/pub/default.aspx?tabid=406,"Community Benefit SA (CBSA) provides one-off project funding to incorporated, non-government, non-profit, charitable and social welfare organisations to develop and strengthen communities across the metropolitan, rural and remote regions of South Australia.

Grants aim to improve the community participation, life management skills, well-being and quality of life of disadvantaged individuals, families and communities.",Government funding,,,,,,,,
Acumen VC,,,Shane Cheek,+61 401 095 999,shane@acumenvc.com,http://acumenvc.com,,Equity Investor,Venture Capital,,,,,,Shane Cheek,shane@acumenvc.com
Terra Rosa Capital,,,Roger Voyle,info@terrarossacapital.com,,,,Equity Investor,Venture Capital,,,,,,Dr Jurgen Michaelis,info@bioinnovationsa.com.au
Blue Sky Private Equity,,,,,,,,Equity Investor,Private Equity,,,,,,,
Innovation Voucher Program,,,,,,,,Government funding,,,,,,,,
Gateway Program,,,,,,,,Government funding,,,,,,,,
Cleantech Grant,,,,,,,,Government funding,,,,,,,,
Co-West Coworking+Writing Studio,,,Rob de Kok,0468 464 720,rob@co-west.com.au,,"Coworking and Writing space in Adelaide CBD.

Coworking spaces are where people work independently together- sort of like having a fully-equipped office but no boss. They are places where you can write that draft, plan that project, tease out that article, sculpt that collection and finally wrap a routine around your craft. .

Membership plans ranges from purely casual to the well-entrenched. Spaces offered include a common, work-oriented Loft with formal desks, wi-fi and filtered power, a low-key Salon equipped with whiteboard, data projector, OHP and killer coffee and a ZenDen soft area to crash in- to re-read that draft or just loll around on the floor like those kids do when they're pretending to do homework. ",Coworking space,,129 Currie Street,Adelaide,SA,5000,Australia,Rob de Kok,rob@co-west.com.au
That Space,,Nicholas Duncan,Naomi Weeks,+61 415 182 042,info@thatspace.com,http://www.adelaidecoworking.com.au ,"Work for yourself, not by yourself.

That Space is a flexible work space in the heart of Norwood Parade. We offer an awesome work environment that is perfect for entrepreneurs, freelancers and early stage businesses.

The Parade is a vibrant location that features some of the best shopping, cafes and restaurants that Adelaide has to offer. In addition, parking is free and easy meaning that you will save hundreds per month over what it would cost to work in the CBD ",Coworking space,,157 The Parade,Norwood,SA,5067,Australia,Nicholas Duncan,
Ontria Office,,,James,0421 840 010,james@ontria.com,http://www.ontriaoffice.com ,"
South Australia's next coworking space.

If you are motivated to create anything of value, we want to provide you with a workspace for growing your ideas and getting things done

Ontria office is in concept phase. While coworking is now a worldwide phenomenon, it is still relatively new in Australia. We want to create a workspace that matches the needs and budget of future members, starting in South Australia. With that in mind, we would love to hear from people who want to work in a collaborative space in SA. ",Coworking space,,,,,,,,
The Workhouse,,,,,,http://toothandnail.net.au/theworkhouse/,"A stone's throw from the crowds of Rundle mall is a small oasis, 
behind steely black doors, 
nestled amongst fifteen open plan artist studios 
is the home of Adelaideâs newest open access print workshopâ¦

With public access, The Workhouse offers artists and printmakers a place to create.

The Workhouse has a large open plan area that is perfect for running classes and workshops.",Coworking space,, 22-24 Corromandel Place,Adelaide,SA,5000,Australia,,
Fifth Quarter,,Carclew,Georgie Davill,+61 8 8267 5111,gdavill@fifthquarter.org.au,http://fifthquarter.org.au/,"Carclew supports emerging South Australian artists to have the confidence, skills and knowledge to establish sustainable arts business.

South Australia boasts a rich and supportive artistic environment. Fifth Quarter supports artists to pursue entrepreneurial thinking and a range of resourcing options.  

Fifth Quarter is a physical and intellectual space connecting artists, ideas and innovative governance and business models. It encourages collaboration and resource sharing to support enterprise development.

Fifth Quarter offers a range of tailored packages and programs that will assist independent artists or groups of artists to develop their business.

Itâs about independent and viable artistic careers which, in turn, feed the cultural and economic wealth of the state.",Coworking space,Networking,27 Fifth St ,Bowden,SA,5007,Australia,Georgie Davill,
Social Startup 48,,TACSI,Suhit Anantula,+61 433 681 501,suhit.anantula@tacsi.org.au,http://ss48.org/adelaide/,"SS48 is a 48 hour gathering of amazing minds. You will spend a weekend building the model for an innovative business that creates social impact. You will be guided by specialist mentors and inspirational speakers, and you will pitch your idea to a panel of judges. ",Networking,Industry Education,,,,,,,
CDW Studios,,,Simon,,,,Located in the Myer Centre,Coworking space,,,,,,,,
The Mill,,,,0421 154 239,info@themilladelaide.com,themilladelaide.com,The Mill is a multi-disciplinary creative hub for young and emerging cultural practitioners and entrepreneurs. Its core goal is to be a cutting edge professional space that provides Adelaide's artists with an incubation environment and connections to wider industries.,Coworking space,,,,,,,,
